@relation 'TCED'
@attribute textid NUMERIC
@attribute emomax NUMERIC
@attribute emomin NUMERIC
@attribute meanang NUMERIC
@attribute meanant NUMERIC
@attribute meandis NUMERIC
@attribute meanfea NUMERIC
@attribute meanjoy NUMERIC
@attribute meansad NUMERIC
@attribute meansup NUMERIC
@attribute meantru NUMERIC
@attribute meanpos NUMERIC
@attribute meanneg NUMERIC
@attribute emomax1 NUMERIC
@attribute emomin1 NUMERIC
@attribute meanang1 NUMERIC
@attribute meanant1 NUMERIC
@attribute meandis1 NUMERIC
@attribute meanfea1 NUMERIC
@attribute meanjoy1 NUMERIC
@attribute meansad1 NUMERIC
@attribute meansup1 NUMERIC
@attribute meantru1 NUMERIC
@attribute meanpos1 NUMERIC
@attribute meanneg1 NUMERIC
@attribute emomax2 NUMERIC
@attribute emomin2 NUMERIC
@attribute meanang2 NUMERIC
@attribute meanant2 NUMERIC
@attribute meandis2 NUMERIC
@attribute meanfea2 NUMERIC
@attribute meanjoy2 NUMERIC
@attribute meansad2 NUMERIC
@attribute meansup2 NUMERIC
@attribute meantru2 NUMERIC
@attribute meanpos2 NUMERIC
@attribute meanneg2 NUMERIC
@attribute emomax3 NUMERIC
@attribute emomin3 NUMERIC
@attribute meanang3 NUMERIC
@attribute meanant3 NUMERIC
@attribute meandis3 NUMERIC
@attribute meanfea3 NUMERIC
@attribute meanjoy3 NUMERIC
@attribute meansad3 NUMERIC
@attribute meansup3 NUMERIC
@attribute meantru3 NUMERIC
@attribute meanpos3 NUMERIC
@attribute meanneg3 NUMERIC

@attribute emomax12 NUMERIC
@attribute emomin12 NUMERIC
@attribute meanang12 NUMERIC
@attribute meanant12 NUMERIC
@attribute meandis12 NUMERIC
@attribute meanfea12 NUMERIC
@attribute meanjoy12 NUMERIC
@attribute meansad12 NUMERIC
@attribute meansup12 NUMERIC
@attribute meantru12 NUMERIC
@attribute meanpos12 NUMERIC
@attribute meanneg12 NUMERIC

@attribute emomax13 NUMERIC
@attribute emomin13 NUMERIC
@attribute meanang13 NUMERIC
@attribute meanant13 NUMERIC
@attribute meandis13 NUMERIC
@attribute meanfea13 NUMERIC
@attribute meanjoy13 NUMERIC
@attribute meansad13 NUMERIC
@attribute meansup13 NUMERIC
@attribute meantru13 NUMERIC
@attribute meanpos13 NUMERIC
@attribute meanneg13 NUMERIC

@attribute emomax23 NUMERIC
@attribute emomin23 NUMERIC
@attribute meanang23 NUMERIC
@attribute meanant23 NUMERIC
@attribute meandis23 NUMERIC
@attribute meanfea23 NUMERIC
@attribute meanjoy23 NUMERIC
@attribute meansad23 NUMERIC
@attribute meansup23 NUMERIC
@attribute meantru23 NUMERIC
@attribute meanpos23 NUMERIC
@attribute meanneg23 NUMERIC
@attribute revised {0, 1}
@data
11,0.133333,0,0.0290817,0.0175871,0.00340754,0.019773,0.00324917,0.00314742,0.0245312,0.014655,0.00772612,0.0184988,0.133333,0,0.0123708,0.0103144,0.00168463,0.00537816,0.00106838,0.000569801,0.00994674,0.00976934,0.00106838,0.00537816,0.0526316,0,0.00388311,0.00356968,0.00172291,0.0037037,0.00218079,0.00257762,0.00253358,0.00271498,0.0035929,0.00184676,0.0769231,0,0.00779892,0,0,0.00779892,0,0,0.00779892,0,0,0.00779892,2.53333,0,3.1858,2.88944,0.977778,1.4521,0.489903,0.221057,3.92596,3.59831,0.297357,2.9122,1.73333,0,1.58622,0,0,0.689603,0,0,1.2754,0,0,0.689603,0.68421,0,0.497903,0,0,0.4749,0,0,0.324863,0,0,0.236797,1
12,0.333333,0,0.0208342,0.0255994,0.00701635,0.0197012,0.0109592,0.0126186,0.0114267,0.0119974,0.00817979,0.0155102,0.0909091,0,0.000533333,0.00230698,0.000959249,0.000921429,0.000844156,0.00116758,0,0.00143425,0.000987821,0,0.08,0,0.00128037,0.00115445,0.000266667,0.000828261,0.000266667,0.000238095,0.000905556,0.00100952,0.000683333,0.00105048,0.1875,0,0.00227556,0.000416667,0.000416667,0.00269222,0,0.000416667,0.0018231,0.000416667,0.000222222,0.00163667,1.13636,0,0.416547,1.99833,3.59718,1.11249,3.16558,4.90385,0,1.42072,1.44559,0,0.484848,0,0.234375,5.53674,2.3022,0.342256,0,2.8022,0,3.4422,4.44519,0,0.426667,0,0.562662,2.77068,0.64,0.307649,0,0.571429,0.496712,2.42286,3.075,0.641843,1
13,0.222222,0,0.0471954,0.0353921,0.0109312,0.0255647,0.0124649,0.0267479,0.021522,0.0200803,0.0129508,0.0255154,0.2,0,0.0108718,0.00866915,0.00398987,0.00544309,0.00227267,0.0062959,0.00651349,0.00472494,0.00235169,0.00600343,0.130435,0,0.00537759,0.00500361,0.00145492,0.00303056,0.00299633,0.00453979,0.00242174,0.00125766,0.00111685,0.00319084,0.222222,0,0.00996668,0.00545117,0.00315232,0.00793349,0.00255779,0.00315232,0.00332025,0.00545117,0.00447858,0.00625901,1.53333,0,2.02169,1.73258,2.74234,1.79607,0.758486,1.38683,2.68959,3.75693,2.10565,1.88146,0.9,0,1.09082,1.59033,1.26569,0.68609,0.888531,1.99723,1.96175,0.866776,0.525099,0.959167,0.586957,0,0.539557,0.917898,0.461539,0.381995,1.17145,1.44014,0.729385,0.230714,0.249376,0.5098,1
14,0.166667,0,0.0456098,0.027723,0.013861,0.0222122,0.00869879,0.0115219,0.0216777,0.0121866,0.0129134,0.0271618,0.166667,0,0.00719642,0.00672545,0.00144038,0.00357851,0.00284043,0.00200501,0.000565931,0,0.00170252,0.00556653,0.0833333,0,0.00472477,0.0038429,0.00165436,0.00146199,0,0.000449843,0.00216374,0.00274641,0,0.00536697,0.114286,0,0.0120434,0.00223527,0.00397504,0.00617586,0.00234577,0.00255842,0.00857496,0.00196114,0.00534279,0.00285772,2,0,1.52313,1.7501,0.870661,2.4477,0,4.45714,0.261552,0,0,1.03718,1.45833,0,0.597539,3.00879,0.362356,0.579436,1.21087,0.783691,0.0659981,0,0.318658,1.94789,0.729167,0,0.39231,1.71921,0.416185,0.236726,0,0.175828,0.252333,1.40041,0,1.87806,1
15,0.25,0,0.0408865,0.0261846,0.016874,0.02354,0.0130821,0.0206559,0.0216591,0.00976302,0.0146867,0.0255872,0.25,0,0.00477157,0.00126378,0.000140905,0.00347291,0.000140905,0.00038956,0.00337301,0.000509424,0.00259389,0.00322598,0.25,0,0.00545448,0.00167068,0.00124172,0.00131196,0.00137969,0.0021035,0.00196947,0.000842866,0.000165563,0.00274452,0.137931,0,0.00235989,0.00291788,0.000915751,0.00182489,0.00124732,0.00092493,0.00102481,0.000820137,0.0011245,0.000946964,1,0,0.874798,0.756448,0.113475,2.64712,0.102128,0.185196,1.71265,0.604396,15.6671,1.17543,1.8125,0,2.02195,0.433117,0.153868,1.90308,0.112966,0.421178,3.29134,0.621145,2.30671,3.40666,1.8125,0,2.31133,0.572567,1.35596,0.718925,1.10612,2.27422,1.92178,1.02771,0.147233,2.89824,1
16,0.290323,0,0.0401151,0.0230783,0.00844399,0.0211269,0.00950135,0.0109864,0.0216534,0.0151433,0.00943794,0.0232567,0.181818,0,0.00429935,0.00316083,0.001001,0.00194994,0.00186922,0.00197597,0.000842185,0.00384519,0.000290613,0.00115883,0.133333,0,0.00322119,0.000750751,0.00036036,0.00201034,0.000375375,0.00117936,0.000934268,0.000375375,0.0003003,0.00136767,0.2,0,0.00395099,0.00325058,0.0015477,0.0025928,0.000911256,0.00108156,0.00235256,0.00151186,0.00032175,0.0038704,1.36364,0,1.33471,4.21023,2.77778,0.969955,4.97959,1.67546,0.901439,10.2436,0.967742,0.8473,0.909091,0,1.08817,0.972391,0.646766,0.75206,2.05125,1.82696,0.357986,2.54335,0.903226,0.299408,0.666667,0,0.815288,0.230959,0.232836,0.775356,0.411932,1.09042,0.397128,0.248288,0.933333,0.353367,1
17,0.142857,0,0.0312884,0.0270442,0.00753102,0.0132307,0.00544603,0.0157655,0.0123473,0.0112902,0.00932176,0.0233212,0.1,0,0.00621571,0.0039825,0.00117023,0.00153941,0.000507099,0.00167733,0.00153941,0.00117023,0.000718391,0.00371792,0.115385,0,0.00605986,0.0067849,0.0029911,0.00320577,0.00273848,0.00473182,0.00284454,0.00385949,0.000801925,0.00428185,0.1,0,0.00301603,0.0042957,0.00224683,0.00107346,0.00107759,0.00341607,0.00173344,0.00222701,0.00246235,0.00306551,0.866667,0,1.02572,0.586965,0.391237,0.480199,0.185175,0.354479,0.541181,0.303209,0.895833,0.868297,1,0,2.06089,0.927088,0.520836,1.43407,0.470588,0.491011,0.888065,0.525471,0.29175,1.21282,1.15385,0,2.00921,1.57946,1.33125,2.9864,2.54131,1.38516,1.64098,1.73303,0.325675,1.39679,1
18,0.222222,0,0.0360174,0.0276303,0.00149869,0.025071,0.00318374,0.00546114,0.0180404,0.0200462,0.00665292,0.0179905,0.166667,0,0.00123355,0.0065256,0,0,0.000816993,0.00214839,0.000868056,0.00674219,0.000816993,0,0.166667,0,0.00592971,0.0028375,0,0.0052399,0,0,0.00316558,0.0039949,0,0.00270262,0.2,0,0.00657917,0.00824891,0,0.00671542,0,0.000904529,0.00471679,0.00471679,0.00185185,0.00471679,1,0,0.208029,2.29977,0,0,0,0,0.274217,1.6877,0,0,0.833333,0,0.187494,0.791086,0,0,0,2.37515,0.184035,1.4294,0.441176,0,0.833333,0,0.901285,0.343985,0,0.780279,0,0,0.671131,0.846954,0,0.572979,1
19,0.166667,0,0.0345818,0.022614,0.0064404,0.0280323,0.0056726,0.0110394,0.0216181,0.013211,0.0134691,0.0217832,0.103448,0,0.0103297,0.00985177,0.00214412,0.00552381,0.000641026,0.00504786,0.00699634,0.00474668,0.00104167,0.00648535,0.117647,0,0.00854955,0.00742978,0.00387255,0.0094887,0.00460784,0.00309641,0.00549292,0.0052239,0.00381293,0.00475763,0.166667,0,0.00526982,0.00367851,0,0.0032197,0,0.00173611,0.00208333,0.00201023,0.00652412,0.00277778,0.87931,0,1.20821,1.32598,0.553672,0.582146,0.139116,1.63023,1.2737,0.908648,0.273193,1.36315,0.62069,0,1.96016,2.67819,0,1.71563,0,2.90756,3.35824,2.36126,0.159664,2.33473,0.705882,0,1.62236,2.01978,0,2.94708,0,1.78353,2.6366,2.59865,0.584436,1.71274,1
20,0.2,0,0.0361788,0.0128461,0.00324044,0.0169689,0.00514648,0.00618345,0.0117121,0.00636206,0.0091491,0.0117163,0.125,0,0.0051377,0.00388457,0.00030525,0.00322988,0.000578369,0.00115674,0.0024412,0.00177045,0.000992063,0.00315102,0.0909091,0,0.00349928,0.000488401,0.0002442,0.000767487,0.000488401,0.000488401,0.0002442,0.0002442,0.000488401,0.00122536,0.111111,0,0.00484043,0.00298676,0.00119249,0.000752224,0.000211327,0.00137673,0.000523286,0.000457875,0.000211327,0.000790046,1.375,0,1.46822,7.95365,1.25,4.20839,1.18421,2.36842,9.99671,7.25,2.03125,2.5715,1.125,0,1.06141,1.3006,0.255978,4.29378,2.73684,0.840206,4.66513,3.86667,4.69444,3.98839,0.818182,0,0.722927,0.163522,0.204782,1.02029,2.31111,0.354754,0.466667,0.533333,2.31111,1.551,1
